Date,SP500,VBTIX
2011-09-27,1131.420044,11.03
2011-10-03,1253.300049,11.02
2011-11-01,1246.959961,10.96
2011-12-01,1257.599976,11.0
2012-01-03,1312.410034,11.07
2012-02-01,1365.680054,11.04
2012-03-01,1408.469971,10.94
2012-04-02,1397.910034,11.04
2012-05-01,1310.329956,11.12
2012-06-01,1362.160034,11.1
2012-07-02,1379.319946,11.23
2012-08-01,1406.579956,11.21
2012-09-04,1440.670044,11.2
2012-10-01,1412.160034,11.19
2012-11-01,1416.180054,11.19
2012-12-03,1426.189941,11.09
2013-01-02,1498.109985,10.99
2013-02-01,1514.680054,11.03
2013-03-01,1569.189941,11.0
2013-04-01,1597.569946,11.08
2013-05-01,1630.73999,10.87
2013-06-03,1606.280029,10.67
2013-07-01,1685.72998,10.67
2013-08-01,1632.969971,10.58
2013-09-03,1681.550049,10.66
2013-10-01,1756.540039,10.72
2013-11-01,1805.810059,10.66
2013-12-02,1848.359985,10.56
2014-01-02,1782.589966,10.7
2014-02-03,1859.449951,10.73
2014-03-03,1872.339966,10.69
2014-04-01,1883.949951,10.75
2014-05-01,1923.569946,10.84
2014-06-02,1960.22998,10.83
2014-07-01,1930.6700440000002,10.78
2014-08-01,2003.369995,10.88
2014-09-02,1972.290039,10.78
2014-10-01,2018.050049,10.86
2014-11-03,2067.560059,10.91
2014-12-01,2058.899902,10.87
2015-01-02,1994.9899899999998,11.1
2015-02-02,2104.5,10.96
2015-03-02,2067.889893,10.98
2015-04-01,2085.51001,10.92
2015-05-01,2107.389893,10.85
2015-06-01,2063.110107,10.72
2015-07-01,2103.840088,10.78
2015-08-03,1972.180054,10.72
2015-09-01,1920.030029,10.78
2015-10-01,2079.360107,10.76
2015-11-02,2080.409912,10.71
2015-12-01,2043.939941,10.64
2016-01-04,1940.2399899999998,10.77
2016-02-01,1932.22998,10.82
2016-03-01,2059.73999,10.9
2016-04-01,2065.300049,10.92
2016-05-02,2096.949951,10.9
2016-06-01,2098.860107,11.09
2016-07-01,2173.600098,11.14
2016-08-01,2170.949951,11.1
2016-09-01,2146.100098,11.08
