,open,high,low,close,volume
2020-01-02 09:00:00,300.7555,301.0437,300.7555,301.0251,17790.0
2020-01-02 09:15:00,300.9787,300.9973,300.9694,300.9787,1469.0
2020-01-02 09:30:00,300.9694,301.0716,300.9136,300.9322,8403.0
2020-01-02 09:45:00,300.9787,301.0437,300.9787,301.0437,500.0
2020-01-02 10:00:00,301.0344,301.0623,301.0344,301.0623,2300.0
2020-01-02 10:15:00,301.0623,301.1646,301.053,301.1646,4586.0
2020-01-02 10:30:00,301.1646,301.1832,301.1088,301.1832,4805.0
2020-01-02 10:45:00,301.1832,301.1832,301.1181,301.1181,3385.0
2020-01-02 11:00:00,301.146,301.146,301.0251,301.0251,1900.0
2020-01-02 11:15:00,301.0437,301.0716,300.9322,301.0065,5775.0
2020-01-02 11:30:00,300.9601,300.9787,300.8857,300.9322,4850.0
2020-01-02 11:45:00,300.9136,300.9229,300.8578,300.8578,4985.0
2020-01-02 12:00:00,300.8392,300.9508,300.8392,300.8764,15747.0
2020-01-02 12:15:00,300.8671,301.0251,300.8671,300.9787,12593.0
2020-01-02 12:30:00,300.9973,301.0623,300.9694,300.9973,17382.0
2020-01-02 12:45:00,301.0158,301.0623,300.9787,301.0623,14848.0
2020-01-02 13:00:00,300.9135,301.146,300.1141,301.0902,79858.0
2020-01-02 13:15:00,301.0995,301.1181,301.0623,301.0623,79112.0
2020-01-02 13:30:00,301.0716,301.2483,301.0623,301.239,86524.0
2020-01-02 13:45:00,301.2204,301.2761,301.1925,301.2297,108325.0
2020-01-02 14:00:00,301.2204,301.2483,300.9415,300.9415,121423.0
2020-01-02 14:15:00,300.9694,301.0623,300.737,300.7927,276317.0
2020-01-02 14:30:00,300.7741,301.2018,300.6533,301.0809,3361955.0
2020-01-02 14:45:00,301.0809,301.2297,300.802,301.0809,2062570.0
2020-01-02 15:00:00,301.0809,301.1088,300.3558,300.3837,1627784.0
2020-01-02 15:15:00,300.3837,300.3837,299.9096,300.2907,2054397.0
2020-01-02 15:30:00,300.2814,300.3093,299.9636,300.1838,954249.0
2020-01-02 15:45:00,300.1792,300.5696,299.9468,300.5045,1080710.0
2020-01-02 16:00:00,300.5138,300.6068,300.4209,300.5975,923223.0
2020-01-02 16:15:00,300.5975,300.5975,300.3837,300.4302,1022138.0
