eventstart,eventend,name,type,subtype,subsubtype,description,source,scheduled,eventstart_CET,eventend_CET
"01.03.2002 01:00:00","NaT","FI Consumer Confidence","Macro Release","FI","Consumer Confidence","","Bloomberg",1,"01.03.2002 07:00:00","NaT"
"01.03.2002 01:30:00","NaT","CH CPI","Macro Release","CH","CPI","","Bloomberg",1,"01.03.2002 07:30:00","NaT"
"01.03.2002 03:00:00","NaT","IT CPI","Macro Release","IT","CPI","","Bloomberg",1,"01.03.2002 09:00:00","NaT"
"01.03.2002 04:30:00","NaT","UK Monetary Aggregates","Macro Release","UK","Monetary Aggregates","","Bloomberg",1,"01.03.2002 10:30:00","NaT"
"01.03.2002 06:00:00","NaT","EA Retail Sales & EA Retail Trade","Macro Release","EA","Retail Sales & EA Retail Trade","","Bloomberg",1,"01.03.2002 12:00:00","NaT"
"01.03.2002 09:00:00","NaT","ECB: Weekly Financial Statement","Central Bank","ECB","Weekly Financial Statement","","ECB website",1,"01.03.2002 15:00:00","NaT"
"01.03.2002 09:45:00","NaT","US University of Michigan Surveys","Macro Release","US","University of Michigan Surveys","","Bloomberg",1,"01.03.2002 15:45:00","NaT"
"01.03.2002 10:00:00","NaT","US ISM Releases","Macro Release","US","ISM Releases","","Bloomberg",1,"01.03.2002 16:00:00","NaT"
"01.03.2002 20:00:00","NaT","US Car Sales","Macro Release","US","Car Sales","","Bloomberg",1,"02.03.2002 02:00:00","NaT"
"04.03.2002 02:00:00","NaT","DE Import Price Index","Macro Release","DE","Import Price Index","","Bloomberg",1,"04.03.2002 08:00:00","NaT"
"04.03.2002 04:30:00","NaT","UK Monetary Aggregates","Macro Release","UK","Monetary Aggregates","","Bloomberg",1,"04.03.2002 10:30:00","NaT"
"04.03.2002 06:30:00","NaT","NO Unemployment Rate","Macro Release","NO","Unemployment Rate","","Bloomberg",1,"04.03.2002 12:30:00","NaT"
"04.03.2002 08:30:00","NaT","Fed: Speech by FOMC member","Central Bank","Fed","Speech by FOMC member","A supervisory perspective on disaster recovery and business continuity","https://www.federalreserve.gov/boarddocs/speeches/2002/20020304/default.htm",0,"04.03.2002 14:30:00","NaT"
"04.03.2002 11:30:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795JN2","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofb30402.pdf",1,"04.03.2002 17:30:00","NaT"
"04.03.2002 19:30:00","NaT","Fed: Speech by FOMC member","Central Bank","Fed","Speech by FOMC member","Back to the future in managing banking risk","https://www.federalreserve.gov/boarddocs/speeches/2002/200203042/default.htm",0,"05.03.2002 01:30:00","NaT"
